DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass,day_of_week,hour_of_day,is_weekend,is_holiday
1/9/2019 19:00,9266,8408,1386,498,2209,2009,2244,0,61,2,19,0,FALSE
1/9/2019 20:00,8973,8445,1387,649,2129,2003,2217,0,60,2,20,0,FALSE
1/9/2019 21:00,8498,8416,1382,855,1860,2043,2215,0,60,2,21,0,FALSE
1/9/2019 22:00,7945,8455,1380,1139,1643,2005,2227,0,61,2,22,0,FALSE
1/9/2019 23:00,7566,8355,1381,1327,1326,2006,2255,0,59,2,23,0,FALSE
1/10/2019 0:00,7229,8117,1389,1482,1023,1932,2231,0,58,3,0,0,FALSE
1/10/2019 1:00,6990,8013,1394,1720,1081,1529,2231,0,57,3,1,0,FALSE
1/10/2019 2:00,6941,8011,1394,1806,973,1530,2250,0,57,3,2,0,FALSE
1/10/2019 3:00,6886,8010,1395,1959,860,1521,2218,0,57,3,3,0,FALSE
1/10/2019 5:00,7148,8260,1396,1994,1104,1484,2224,0,58,3,5,0,FALSE
1/10/2019 6:00,7651,8474,1396,1759,1364,1591,2305,0,59,3,6,0,FALSE
1/10/2019 7:00,8386,8415,1395,1559,1513,1611,2273,0,63,3,7,0,FALSE
1/10/2019 8:00,8897,8627,1395,1100,1881,1909,2275,0,65,3,8,0,FALSE
1/10/2019 9:00,9278,8586,1348,881,2071,1994,2221,13,58,3,9,0,FALSE
1/10/2019 10:00,9378,8587,1347,694,2182,2031,2239,28,65,3,10,0,FALSE
1/10/2019 11:00,9195,8293,1348,495,2034,2032,2267,50,65,3,11,0,FALSE
1/10/2019 12:00,9245,8182,1340,279,2168,2019,2247,66,62,3,12,0,FALSE
1/10/2019 15:00,8856,7848,1376,362,1762,2019,2226,36,64,3,15,0,FALSE
1/10/2019 16:00,8992,7898,1361,428,1781,2027,2233,3,64,3,16,0,FALSE
1/10/2019 17:00,9373,8159,1359,493,2029,2023,2190,0,64,3,17,0,FALSE
1/10/2019 18:00,9440,8170,1382,393,2020,2021,2288,0,65,3,18,0,FALSE
1/10/2019 19:00,9354,8008,1383,402,1901,2023,2232,0,67,3,19,0,FALSE
1/10/2019 20:00,9121,7903,1381,428,1764,2023,2240,0,67,3,20,0,FALSE
1/10/2019 21:00,8774,7856,1380,395,1720,2020,2275,0,66,3,21,0,FALSE
1/10/2019 22:00,8085,7695,1382,332,1639,2012,2264,0,64,3,22,0,FALSE
1/10/2019 23:00,7405,7313,1384,447,1170,2012,2237,0,63,3,23,0,FALSE
1/11/2019 0:00,7290,7587,1383,447,1387,2009,2301,0,60,4,0,0,FALSE
1/11/2019 1:00,7034,6969,1388,436,1301,1565,2218,0,61,4,1,0,FALSE
1/11/2019 2:00,7028,6954,1391,399,1222,1582,2299,0,60,4,2,0,FALSE
1/11/2019 3:00,6891,6937,1391,358,1250,1571,2307,0,60,4,3,0,FALSE
1/11/2019 4:00,7023,7134,1388,388,1397,1566,2335,0,61,4,4,0,FALSE
1/11/2019 5:00,7133,7461,1390,706,1430,1566,2309,0,60,4,5,0,FALSE
1/11/2019 6:00,7511,7432,1390,958,1161,1577,2283,0,63,4,6,0,FALSE
1/11/2019 7:00,8330,8037,1389,1394,1275,1635,2280,0,64,4,7,0,FALSE
1/11/2019 8:00,8948,8498,1386,1729,1264,1767,2288,0,63,4,8,0,FALSE
1/11/2019 9:00,9305,8863,1375,1794,1394,1928,2302,3,65,4,9,0,FALSE
1/11/2019 10:00,9337,8998,1374,1842,1454,1927,2326,9,65,4,10,0,FALSE
1/11/2019 11:00,9281,9011,1377,1936,1375,1919,2307,30,65,4,11,0,FALSE
1/11/2019 12:00,9162,8853,1343,1747,1397,1922,2323,55,64,4,12,0,FALSE
1/11/2019 13:00,9082,8610,1356,1377,1398,1986,2357,69,65,4,13,0,FALSE
1/11/2019 14:00,8905,8531,1374,1121,1554,2009,2340,65,65,4,14,0,FALSE
1/11/2019 15:00,8672,8298,1382,947,1537,2016,2312,41,62,4,15,0,FALSE
1/11/2019 16:00,8772,8142,1382,754,1629,2020,2289,6,62,4,16,0,FALSE
1/11/2019 17:00,9294,8144,1379,658,1670,2024,2348,0,63,4,17,0,FALSE
1/11/2019 18:00,9287,8122,1382,801,1527,2028,2319,0,64,4,18,0,FALSE
1/11/2019 19:00,9123,7805,1383,718,1332,2026,2280,0,64,4,19,0,FALSE
1/11/2019 20:00,8935,7618,1382,497,1375,1960,2343,0,61,4,20,0,FALSE
1/11/2019 21:00,8563,7545,1385,349,1448,1947,2354,0,62,4,21,0,FALSE
1/11/2019 22:00,7834,7169,1383,218,1309,1947,2251,0,61,4,22,0,FALSE
1/11/2019 23:00,7448,7008,1381,143,1187,1947,2289,0,60,4,23,0,FALSE
1/12/2019 0:00,7098,6928,1382,57,1157,1949,2324,0,58,5,0,1,FALSE
1/12/2019 1:00,6929,6751,1382,69,1052,1932,2257,0,58,5,1,1,FALSE
1/12/2019 2:00,6765,6719,1383,155,948,1926,2249,0,58,5,2,1,FALSE
1/12/2019 8:00,7878,7361,1392,803,982,1785,2335,5,58,5,8,1,FALSE
1/12/2019 9:00,8290,8073,1386,872,1309,2020,2384,42,58,5,9,1,FALSE
1/12/2019 10:00,8412,8353,1390,1173,1326,2008,2289,106,58,5,10,1,FALSE
1/12/2019 11:00,8372,8397,1391,1655,935,1969,2228,160,58,5,11,1,FALSE
1/12/2019 15:00,8008,8183,1390,1405,1067,1912,2232,117,58,5,15,1,FALSE
1/12/2019 16:00,8184,8089,1389,1259,1082,1917,2365,18,57,5,16,1,FALSE
